club,location,link
Fossil Club of Lee County,Ft. Myers,http://www.fcolc.com/
Gainesville Gem & Mineral Society,Gainesville,http://gainesvillegms.weebly.com/
Gem and Mineral Society of the Palm Beaches,West Palm Beach,http://www.gemandmineralsociety.org/
"Imperial Bone Valley Gem, Mineral, & Fossil Society",Lakeland,http://www.bonevalley.net/
"Jacksonville Gem and Mineral Society, Inc.",Jacksonville,http://www.jaxgemandmineral.org/
"Miami Mineralogical and Lapidary Guild, Inc.",Miami,http://www.mmlg-inc.org/
Playground Gem and Mineral Society,Ft. Walton Beach,http://playgroundgem.org/
Southwest Florida Fossil Society,Punta Gorda,http://www.southwestfloridafossilsociety.org/
St Lucie County Rock and Gem Club,Port St Lucie,http://www.slcrockandgem.org/
Suncoast Gem and Mineral Society,St Petersburg,http://sgams.com/
Tampa Bay Fossil Club,Palm Harbor,http://www.tampabayfossilclub.com/
"Tampa Bay Mineral & Science Club, Inc.",Tampa,http://www.tampabayrockclub.com/
The Villages Gem and Mineral Society,The Villages,http://www.thevillagesgemandmineralsociety.com/
Tomoka Faceters Guild,Palm Coast,http://www.tomokafacetersguild.org/index.html
Withlacoochee Rockhounds,Spring Hill,http://www.withlacoocheerockhounds.com/
Athens Rock and Gem Club,Athens,http://www.athensrockandgemclub.org/
Augusta Gem & Mineral Society,Augusta,http://agams.club/
Cobb County Gem and Mineral Society,Marietta,https://www.ccgms.org/
"Georgia Mineral Society, Inc.",Norcross,http://www.gamineral.org/
Mid-Georgia Gem and Mineral Society,Macon,http://midgagmsorg.ipage.com/
Rome Georgia Mineral Society Inc.,Rome,https://rogams.wordpress.com/
"Hui Pohaku 'O Hawai'i Rock & Mineral Society of Hawai'i, Inc.",Honolulu,http://pohakugalore.net/Hui_pohaku/Hiu_pohaku_1.html
"Hells Canyon Gem Club, Inc.",Lewiston,http://www.hellscanyongemclub.com/
Idaho Falls Gem & Mineral Society,Idaho Falls,http://ifgemmineral.weebly.com/
"Idaho Gem Club, Inc.",Boise,http://www.idahogemclub.com/
Magic Valley Gem Club,Twin Falls,http://magicvalleygemclub.org/
North Idaho Mineral Club,Coeur d'Alene,http://www.northidahomineralclub.com/
Owyhee Gem & Mineral Society,Caldwell,http://www.owyheerocks.com/
Pend Oreille Rock and Gem Club,Oldtown,https://pendoreillerockandgemclub.wordpress.com/
Southeast Idaho Gem and Mineral Society,Boise,https://www.facebook.com/SEIGMS
Black Hawk Gem & Mineral Club,Rock Island,http://www.blackhawkgemandmineralclub.com/
Central Illinois Gem & Mineral Club,Decatur,http://rmkapta.wixsite.com/cigmc
Chicago Rocks & Minerals Society,Skokie,http://www.chicagorocks.org/
Elgin Rock Club,Elgin,http://elginrockclub.org/
"Geodeland Earth Science Clubs, Inc.",Macomb,http://www.geodeland.com/
Lincoln Orbit Earth Science Society,Springfield,http://www.loess.org/
Midwest Historical Research Society,Chicago,http://www.mhrsusa.com/
Northwest Illinois Rock Club,Freeport,http://nwilrockclubfrpt.blogspot.com/
Peoria Academy of Science Geology Section,Peoria,http://www.pasgeology.com/
Southern Illinois Earth Science Club,Benton,http://www.siesclub.org/
West Central Illinois Rock & Mineral Club,Macomb,http://www.rockchatter.com/
West Suburban Lapidary Club,Elmhurst,http://www.westsuburbanlapidaryclub.com/
500 Earth Sciences Club,Indianapolis,http://www.500earthsciencesclub.org/
Brown County Rock and Mineral Club,Nashville,http://browncountyrock.webs.com/
Calumet Gem & Mineral Society,Crown Point,https://www.facebook.com/calumetrockclub
Evansville Lapidary Society,Evansville,http://evansvillelapidarysociety.tumblr.com/
"Eastern Indiana Gem & Geological Society, Inc.",Richmond,http://eiggs.weebly.com/
"Lawrence County Rock Club, Inc",Bedford,http://www.lawrencecountyrockclub.org/
"Michiana Gem & Mineral Society, Inc.",South Bend,http://www.michianagms.org/
Three Rivers Gem & Mineral Society,Fort Wayne,http://3riversgem_mineral.tripod.com/
Cedar Valley Rocks and Minerals Society,Cedar Rapids,http://www.cedarvalleyrockclub.org/
Des Moines Lapidary Society,Des Moines,http://dmlapidary.org/
Geology Club @ Cornell College,Mount Vernon,http://orgs.cornellcollege.edu/geo_club/
Iowa State University Geology Club,Ames,https://www.facebook.com/ISUGEOCLUB/
River Valley Rockhounds,Fort Dodge,http://amfed.org/mwf/states/Iowa/RiverValley.html
The Sac & Fox Lapidary Club,Fairfield,http://members.iowatelecom.net/billrath/rock_club.html
Olathe Gem and Mineral Society,Kansas City,http://olathegemclub.com/
Topeka Gem & Mineral Society,Topeka,http://www.topekagms.org/
Wichita Gem and Mineral Society,Wichita,http://www.wgmsks.org/
Wichita Paleontological Society,Wichita,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html
Blue Grass Gem & Mineral Club of Central Kentucky,Lexington,http://bggamc.homestead.com/
KYANA Geological Society,Louisville,http://www.kyanageo.org/
Kentucky Paleontological Society,Lexington,http://www.uky.edu/OtherOrgs/KPS/
Ark-La-Tex Gem & Mineral Society,Shreveport,http://larockclub.com/
Baton Rouge Gem & Mineral Society,Baton Rouge,http://www.brgemandmineral.org/
DeRidder Gem & Mineral Society,Leesville,https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/
Kennebec Rocks and Minerals Club,Winthrop,http://kennebec-rocksandminerals.com/
Maine Mineralogical & Geological Society,Portland,http://mainemineralclub.org/
Oxford County Mineral and Gem Association,South Paris,http://ocmgassoc.blogspot.com/
Penobscot Mineral and Lapidary Club,Milford,http://penobscotminerallapidaryclub.com/index.html
American Fossil Federation,Bowie,http://americanfossilfederation.org/Home.html
Baltimore Mineral Society,Baltimore,http://www.baltimoremineralsociety.org/
Calvert Marine Museum Fossil Club,Solomons,http://www.calvertmarinemuseum.com/209/Fossil-Club
Central Maryland Rock and Mineral Collectors Exchange,Elkridge,https://www.meetup.com/rockhounds/
Chesapeake Gem & Mineral Society,Baltimore,http://www.chesapeakegemandmineral.org/
"Gem Cutters Guild of Baltimore, Inc.",Baltimore,http://www.gemcuttersguild.com/
"Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc.",Rockville,http://www.glmsmc.com/
Maryland Geological Society,Bowie,http://www.ecphora.net/mgs/
Micromineralogists of the National Capital Area,"Washington, DC",http://dcmicrominerals.org/
Patuxent Lapidary Guild,Annapolis,http://www.patuxentlapidary.org/
Southern Maryland Rock and Mineral Club,Clinton,http://www.smrmc.org/
The Mineralogical Society of the District of Columbia,"Washington, DC",http://www.mineralogicalsocietyofdc.org/
"Boston Mineral Club, Inc.",Boston,http://www.bostonmineralclub.org/
Connecticut Valley Mineral Club,Springfield,http://www.cvmineralclub.org/
Micromounters of New England,Chemlsford,http://micromountersofnewengland.org/
Nashoba Valley Mineralogical Society,Westford,http://www.americantowns.com/ma/westford/organization/nashoba_valley_mineralogical_society
North Shore Rock & Mineral Club of Massachusetts,South Hamilton,http://www.northshorerock.org/
Northern Berkshire Mineral Club,North Adams,http://nbmclub.webs.com/
Southeastern Massachusetts Mineral Club,Bridgewater,http://semmc.com/
Worcester Mineral Club,Worcester,http://worcestermineralclub.org/
"Big Rapids Rock, Gem & Mineral Club",Big Rapids,https://sites.google.com/site/bigrapidsrockgemmineralclub/
Central Michigan Lapidary and Mineral Society,Lansing,http://michrocks.org/
Copper Country Rock and Mineral Club,Dollar Bay,http://www.ccrmc.info/
Flint Rock and Gem Club,Flint,http://www.flintrockandgem.org/
Grand Traverse Area Rock and Mineral Club,Traverse City,http://tcrockhounds.com/
Indian Mounds Rock & Mineral Club,Wyoming,http://www.indianmoundsrockclub.com/
Ishpeming Rock and Mineral Club,Ishpeming,http://www.ishpemingrocks.org/
Kalamazoo Geological & Mineral Society,Kalamazoo,http://kalamazoorockclub.org/
Livingston Gem & Mineral Society,Howell,http://www.livingstongemandmineralsociety.com/
Michigan Gem & Mineral Society,Michigan Center,http://mgmsrockclub.com/
Michigan Mineralogical Society,Bloomfield Hills,https://www.michmin.org/
Mid-Michigan Rock Club,Midland,http://www.midmichrockclub.com/?Page=1
Midwest Faceters' Guild,Grand Rapids,http://www.midwestfaceters.org/
Midwest Mineralological & Lapidary Society,Taylor,http://www.mmls.us/
Mikenauk Rock and Gem Club,Roscommon,http://mikenaukclub.weebly.com/
Mount Clemens Gem & Lapidary Society,Mt. Clemens,http://mcgls.org/
Oakland County Earth Science Club,Waterford,http://www.ocesc.com/
Roamin Club,Livonia,https://roaminrockclub.weebly.com/
StateLine Gem & Mineral Society,Morenci,http://statelinegms.com/
"Tulip City Gem & Mineral Club, Inc.",Holland,http://www.tulipcity.org/
Anoka County Gem & Mineral Club,Minneapolis,http://www.amfed.org/mwf/states/Minnesota/AnokaGem.html
"Cuyuna Rock, Gem and Mineral Society",Brainerd,http://cuyunarockclub.org/wp/
Minnesota Mineral Club,Falcon Heights,http://minnesotamineralclub.org/
Minnesota Valley Gem & Mineral Club,Mankato,http://www.mnvalleygemandmineralclub.com/
St Croix Rockhounds,Stillwater,http://stcroixrockhounds.org/
"Harrison County Gem & Mineral Society, Inc.",Gulfport,http://www.gulfportgems.org/
Mississippi Gem & Mineral Society,Jackson,http://missgems.org/
Mississippi Geological Society,Jackson,http://www.missgeo.com/
Mississippi Gulf Coast Gem and Mineral Society,Ocean Springs,http://www.mgcgms.org/
North Mississippi Gem and Mineral Society,Tupelo,http://www.nmgms.org/
Central Missouri Rock and Lapidary Club,Columbia,http://www.cmrlc.org/
Independence Gem & Mineral Society,Independence,http://www.igams.co/
Missouri Valley Gem & Mineral Society,St. Joseph,http://www.movalleyrockclub.com/
"Mozarkite Society of Lincoln, Inc.",Lincoln,http://www.mozarkite.com/
Ozark Mountain Gem & Mineral Society,Springfield,https://www.facebook.com/omgms.57
Rock Hobby Club of Greater Saint Louis,St. Louis,xxxxxhttp://rockhobby.stlearthsci.org/Home.aspxxxxxx
Rockwood Gem & Mineral Society,St. Louis,http://rockwood.stlearthsci.org/
St. Louis Mineral & Gem Society,St. Louis,http://www.stlrockclub.com/
"Show Me Gems & Minerals Club, Inc.",St. Peters,http://showme.stlearthsci.org/
Show-Me Rockhounds Kansas City,Kansas City,https://showmerockhounds.com/
"Billings Gem & Mineral Club, Inc.",Billings,http://www.billingsgemclub.com/
Bitterroot Gem & Mineral Society,Corvallis,http://www.ravalligemandmineralclub.org/
Bozeman Gem and Mineral Club,Bozeman,http://bozemangemandmineralclub.com/
Hellgate Mineral Society,Missoula,https://www.facebook.com/HellgateMineralSociety/
Kalispell Rockhound Club,Kalispell,http://www.kalispellrockhounds.org/
"Lincoln Gem & Mineral Club, Inc.",Lincoln,https://www.lincolngemmineralclub.org/
Comstock Gold Prospectors,Reno,http://cgpgold.org/
Great Basin Gem & Mineral Club,Carson City,http://greatbasingemandmineralclub.rocks/
High Desert Rockers,Carson City,https://highdesertrockers.wordpress.com/
Nye Gold Seekers,Pahrump,http://nyegoldseekers.webs.com/
Reno Gem and Mineral Society,Reno,http://www.renorockhounds.com/
Southern Nevada Gem and Mineral Society,Las Vegas,http://www.snvgms.org/
Capital Mineral Club,Concord,http://www.capitalmineralclub.org/
Keene Mineral Club,Keene,https://sites.google.com/site/keenemineralclub/home
Saco Valley Gem and Mineral Club,Conway,http://www.sacovalleygemandmineralclub.org/
Southeastern New Hampshire Mineral Club,Dover,https://www.senhmc.org/
Cape Atlantic Rockhounds Inc.,Cologne,http://www.capeatlanticrockhounds.com/
Delaware Valley Earth Science Society,Woodbury,http://www.dvess.org/
Friends of Mineralogy - New Jersey Chapter,Marlboro Township,https://fomnj.wordpress.com/
Morris Museum Mineralogical Society,Morristown,http://morrismuseum.org/mineral-society/
"New Jersey Mineralogical Society, Inc",Mountainside,http://www.njmin.org/
"North Jersey Mineralogical Society, Inc.",Paterson,http://www.nojms.webs.com/
Albuquerque Gem & Mineral Club,Albuquerque,http://www.agmc.info/
Carlsbad Gem and Mineral Society,Carlsbad,http://www.carlsbadgms.org/
Deming Gem & Mineral Society,Deming,http://www.thedgms.com/
"Grant County Rolling Stones Gem & Mineral Society, Inc.",Silver City,http://rollingstonesgms.blogspot.com/
Los Alamos Geological Society,Los Alamos,http://pweb.netcom.com/~hoffmans/LAGS.html
"Buffalo Geological Society, Inc.",Buffalo,http://www.bgsny.org/
Capital District Mineral Club,Albany,http://capitaldistrictmineralclub.com/
"Gem and Mineral Society of Syracuse, Inc.",Syracuse,http://www.gmss.us/
Island Rockhounds Inc.,Bellmore,http://www.islandrockhounds.org/
Long Island Mineral & Geology Society,Jamesport,http://www.limineralandgeology.com/LiMags/Home.html
Mid-Hudson Valley Gem and Mineral Society Inc.,Poughkeepsie,http://mhvgms.org/index.html
Nassau Mineral Club,Glen Cove,http://nassaumineralclub.org/
New York Mineralogical Club,NYC,http://www.newyorkmineralogicalclub.org/
New York Paleontological Society,NYC,http://www.nyps.org/index.htm
Orange County Mineral Society,Middletown,http://www.orangecountymineralsocietynewyork.com/
Rochester Academy of Science,Rochester,http://www.rasny.org/
Rochester Lapiday Society,Rochester,http://www.rochesterlapidary.org/
St. Lawrence County Rock & Mineral Club,Canton,http://stlawrencecountymineralclub.org/
Suffolk Gem & Mineral Club,Bay Shore,http://www.suffolkgem.com/
Wayne County Gem and Mineral Club,Newark,http://www.wcgmc.org/
Cape Fear Mineral & Gem Society,Fayetteville,http://www.mercergarden.com/GemClub.html
Catawba Valley Gem & Mineral Club,Hickory,http://www.cvgmc.com/
Central North Carolina Mineral Club,Chapel Hill,http://www.centralncmineralclub.org/
Charlotte Gem & Mineral Club,Charlotte,http://www.charlottegem.com/
Forsyth Gem and Mineral Club,Winston-Salem,http://www.forsythgemclub.com/fgmcmain.html
"Gaston Gem, Mineral and Faceters Club",Gastonia,http://gastongemclub.weebly.com/
Gem & Mineral Society of Franklin,Franklin,http://www.fgmm.org/
Greensboro Gem & Mineral Club,Greensboro,http://www.ggmc-rockhounds.com/
Henderson County Gem and Mineral Society,Hendersonville,http://hcgms.com/index.html
Mountain Area Gem and Mineral Association (MAGMA),Asheville,http://www.wncrocks.com/magma/magma.html
North Carolina Fossil Club,Raleigh,http://www.ncfossilclub.org/
Southern Appalachian Mineral Society,Asheville,http://www.main.nc.us/sams/
Tar Heel Gem & Mineral Club,Raleigh,http://www.tarheelclub.org/
Central Dakota Gem & Mineral Society,Bismarck,https://ndrockclub.org/
Brukner Gem and Mineral Club,Troy,http://www.bruknergemandmineralclub.com/
Cincinnati Mineral Society,Cincinnati,http://mineralsociety.org/
Columbus Rock and Mineral Society,Columbus,http://www.columbusrockandmineralsociety.org/
Dayton Gem & Mineral Society,Kettering,https://www.facebook.com/The-Dayton-Gem-Mineral-Society-140478502678195/
Dry Dredgers,Cincinnati,http://drydredgers.org/
Greater Cincinati Lapidary and Faceting Society,Loveland,http://cincinnatilapidary.weebly.com/
North Coast Fossil Club,Cleveland,http://ncfclub.org/
Ohio Geological Society,Worthington,https://ohiogeosoc.org/
Parma Lapidary Club,Cleveland,http://www.parmalapidary.com/
Richland Lithic & Lapidary Society,Mansfield,http://rlls.webs.com/
Summit Lapidary Club,Cuyahoga Falls,http://lapidaryclubofohio.org/
Toledo Gem & Rockhound Club,Toledo,http://rockyreader.com/
"Ada Gem, Mineral and Fossil Club",Ada,http://www.freewebs.com/agmfc/
Enid Gem & Mineral Society,Enid,http://www.enidgemandmineral.org/
Oklahoma Mineral and Gem Society,Oklahoma City,http://omgs-minerals.org/
Shawnee Gem and Mineral Society,Shawnee,https://www.facebook.com/Shawnee-Gem-and-Mineral-Society-524175917629452/
Tulsa Rock and Mineral Society,Tulsa,http://www.ttownrockhound.org/
Tahlequah Rock and Mineral Society,Tahlequah,http://tramsok.webs.com/
Central Oregon Rock Collectors,Redmond,https://corockcollectors.com/
Clackamette Mineral and Gem Club,Oregon City,http://www.clackamettegem.org/
Columbia-Willamette Faceters' Guild,Portland/West Linn,http://facetersguild.com/
FarWest Lapidary & Gem Society,North Bend,http://www.farwestlapidary.org/
Hatrockhounds Gem and Mineral Society,Hermiston,http://jall23.wixsite.com/hatrockhounds
Millennium Diggers Club,Portland,http://www.millenniumdiggers.com/
Mt Hood Rock Club,Gresham,https://mthoodrockclub.wordpress.com/
North American Research Group,Hillsboro,http://narg-online.com/
"Oregon Agate & Mineral Society, Inc.",Portland,http://www.oregonagate.org/
Oregon Coast Agate Club,Newport,http://www.coastagates.org/
Prineville Rockhound Pow-Wow Assoc.,Prineville,http://prineville.rocks/
Rock and Arrowhead Club of Klamath Falls,Klamath Falls,http://www.klamathrockclub.org/
Springfield Thunderegg Rock Club,Springfield,http://thundereggrockclub.blogspot.com/
Tualatin Valley Gem Club,Forest Grove,https://tvrgc.org/
"Willamette Agate and Mineral Society, Inc.",Salem,http://www.wamsi.net/
"Central Pennsylvania Rock and Mineral Club, Inc.",Harrisburg,http://www.rockandmineral.org/
"Che-Hanna Rock and Mineral Club, Inc.",Sayre,http://www.chehannarocks.com/
Delaware Valley Paleontological Society,Philadelphia,https://sites.google.com/site/dvpspaleo/
